"Country or Area","Year(s)","Variant","Value"
"World","2042","Momentum","8910646.483"
"World","2041","Medium","9257745.535"
"World","2041","High","9773235.721"
"World","2041","Low","8743819.927"
"World","2041","Constant fertility","9646666.952"
"World","2041","Instant replacement","9033035.94"
"World","2041","Zero migration","9259032.935"
"World","2041","Constant mortality","9043311.086"
"World","2041","No change","9420859.999"
"World","2041","Momentum","8876058.538"
"World","2040","Medium","9198847.24"
"World","2040","High","9682331.726"
"World","2040","Low","8716309.528"
"World","2040","Constant fertility","9553185.521"
"World","2040","Instant replacement","8983323.86"
"World","2040","Zero migration","9200198.926"
"World","2040","Constant mortality","9002331.227"
"World","2040","No change","9346884.795"
"World","2040","Momentum","8839641.616"
"World","2039","Medium","9138828.468"
"World","2039","High","9591020.868"
"World","2039","Low","8687153.805"
"World","2039","Constant fertility","9460502.021"
"World","2039","Instant replacement","8932289.871"
"World","2039","Zero migration","9140227.152"
"World","2039","Constant mortality","8959520.594"
"World","2039","No change","9272819.092"
"World","2039","Momentum","8801388.706"
"World","2038","Medium","9077693.676"
"World","2038","High","9499252.89"
"World","2038","Low","8656382.233"
"World","2038","Constant fertility","9368545.351"
"World","2038","Instant replacement","8879975.661"
"World","2038","Zero migration","9079122.001"
"World","2038","Constant mortality","8914870.504"
"World","2038","No change","9198596.068"
"World","2038","Momentum","8761323.496"
"World","2037","Medium","9015437.653"
"World","2037","High","9406793.317"
"World","2037","Low","8624178.212"
"World","2037","Constant fertility","9277234.779"
"World","2037","Instant replacement","8826485.9"
"World","2037","Zero migration","9016875.833"
"World","2037","Constant mortality","8868367.226"
"World","2037","No change","9124141.449"
"World","2037","Momentum","8719534.501"
"World","2036","Medium","8952048.94"
"World","2036","High","9313353.896"
"World","2036","Low","8590768.321"
"World","2036","Constant fertility","9186496.856"
"World","2036","Instant replacement","8771951.871"
"World","2036","Zero migration","8953474.471"
"World","2036","Constant mortality","8819993.145"
"World","2036","No change","9049388.205"
"World","2036","Momentum","8676139.74"
"World","2035","Medium","8887524.213"
"World","2035","High","9218767.091"
"World","2035","Low","8556281.365"
"World","2035","Constant fertility","9096271.757"
"World","2035","Instant replacement","8716482.371"
"World","2035","Zero migration","8888913.208"
"World","2035","Constant mortality","8769737.096"
"World","2035","No change","8974280.489"
"World","2035","Momentum","8631235.002"
"World","2034","Medium","8821862.661"
"World","2034","High","9122948.095"
"World","2034","Low","8520771.693"
"World","2034","Constant fertility","9006496.105"
"World","2034","Instant replacement","8660128.036"
"World","2034","Zero migration","8823191.082"
"World","2034","Constant mortality","8717592.216"
"World","2034","No change","8898762.726"
"World","2034","Momentum","8584862.093"
"World","2033","Medium","8755083.431"
"World","2033","High","9026062.318"
"World","2033","Low","8484096.062"
"World","2033","Constant fertility","8917136.361"
